imdb_id,imdb_rating,imdb_votes,metascore,rotten_tomatoes,rated,box_office,awards
tt2283362,6.9,501548,58.0,76.0,PG-13,404540171.0,5 wins & 15 nominations total
tt0241527,7.7,944457,65.0,80.0,PG,319765078.0,Nominated for 3 Oscars. 20 wins & 75 nominations total
tt7510222,6.2,76384,52.0,56.0,PG,361004205.0,2 wins & 6 nominations total
tt1690953,7.3,456712,62.0,75.0,PG,368065385.0,Nominated for 2 Oscars. 12 wins & 66 nominations total
tt3040964,7.3,304379,77.0,94.0,PG,364001123.0,Won 1 Oscar. 33 wins & 56 nominations total
tt0449088,7.2,743246,50.0,43.0,PG-13,309420425.0,Nominated for 2 Oscars. 23 wins & 51 nominations total
tt3566834,5.6,153774,45.0,,PG,424087780.0,2 wins & 15 nominations total
tt1170358,7.8,752978,66.0,74.0,PG-13,258387334.0,Nominated for 3 Oscars. 19 wins & 90 nominations total
tt2310332,7.4,617163,59.0,59.0,R,255138261.0,Nominated for 1 Oscar. 8 wins & 56 nominations total
tt9419884,6.9,543288,60.0,73.0,PG-13,411331607.0,10 wins & 31 nominations total
tt0926084,7.7,659115,65.0,77.0,PG-13,296374621.0,Nominated for 2 Oscars. 15 wins & 55 nominations total
tt15398776,8.2,1024033,90.0,93.0,R,330078895.0,Won 7 Oscars. 370 wins & 378 nominations total
tt0266543,8.2,1196544,90.0,99.0,G,380843261.0,Won 1 Oscar. 49 wins & 63 nominations total
tt5113044,6.5,102656,56.0,70.0,PG,370549695.0,1 win & 17 nominations total
tt0373889,7.5,693356,71.0,78.0,PG-13,292382727.0,Nominated for 2 BAFTA 17 wins & 50 nominations total
tt0417741,7.6,653701,78.0,83.0,PG,302334374.0,Nominated for 1 Oscar. 9 wins & 39 nominations total
tt0298148,7.4,550541,75.0,89.0,PG,444978202.0,Nominated for 2 Oscars. 18 wins & 52 nominations total
tt0167261,8.8,1954618,87.0,95.0,PG-13,350104956.0,Won 2 Oscars. 132 wins & 139 nominations total
tt0107290,8.2,1167043,68.0,91.0,PG-13,407185075.0,Won 3 Oscars. 44 wins & 27 nominations total
tt1727824,7.9,638785,49.0,60.0,PG-13,216668042.0,Won 4 Oscars. 50 wins & 80 nominations total
tt13462900,5.5,4690,,36.0,Not Rated,342411.0,37 wins & 40 nominations total
tt0330373,7.7,746138,81.0,88.0,PG-13,291239805.0,Nominated for 1 Oscar. 13 wins & 48 nominations total
tt0413300,6.3,692051,59.0,62.0,PG-13,338032318.0,Nominated for 1 BAFTA Award4 wins & 44 nominations total
tt29355505,7.5,40356,73.0,93.0,PG,370198297.0,4 nominations total
tt1080016,6.9,283955,50.0,46.0,PG,196573705.0,3 wins & 13 nominations total
tt2250912,7.4,795043,73.0,92.0,PG-13,334952829.0,8 wins & 11 nominations total
tt2379713,6.8,493010,60.0,63.0,PG-13,200074609.0,Won 1 Oscar. 8 wins & 37 nominations total
tt1667889,6.5,240893,49.0,37.0,PG,161321843.0,2 wins & 11 nominations total
tt0295297,7.5,759564,63.0,82.0,PG,263094348.0,Won 1 BAFTA Award14 wins & 50 nominations total
tt2709768,6.5,233985,61.0,70.0,PG,368623860.0,4 wins & 15 nominations total
tt2975590,6.4,790738,44.0,28.0,R,330360194.0,14 wins & 33 nominations total
tt0120737,8.9,2203785,92.0,91.0,PG-13,325873309.0,Won 4 Oscars. 126 wins & 127 nominations total
tt7131870,5.9,9482,44.0,67.0,Not Rated,2721100.0,32 wins & 16 nominations total
tt31036941,5.8,194010,50.0,50.0,PG-13,339640400.0,Nominated for 1 Oscar. 3 wins & 14 nominations total
tt1951264,7.5,768630,76.0,90.0,PG-13,424668047.0,22 wins & 68 nominations total
tt3896198,7.6,828114,67.0,85.0,PG-13,389813101.0,Nominated for 1 Oscar. 15 wins & 62 nominations total
tt9114286,6.6,368850,67.0,84.0,PG-13,453829060.0,Won 1 Oscar. 53 wins & 173 nominations total
tt2096673,8.1,905131,94.0,98.0,PG,356461711.0,Won 1 Oscar. 99 wins & 118 nominations total
tt1270797,6.6,601600,35.0,31.0,PG-13,213515506.0,2 wins & 9 nominations total
tt3501632,7.9,892533,74.0,93.0,PG-13,315058289.0,6 wins & 50 nominations total
tt0121766,7.7,912634,68.0,79.0,PG-13,414378291.0,Nominated for 1 Oscar. 29 wins & 64 nominations total
tt6791350,7.9,470167,64.0,82.0,PG-13,358995815.0,Nominated for 1 Oscar. 12 wins & 100 nominations total
tt1375666,8.8,2811614,74.0,87.0,PG-13,292587330.0,Won 4 Oscars. 160 wins & 220 nominations total
tt1055369,6.0,451650,35.0,19.0,PG-13,402111870.0,Nominated for 1 Oscar. 15 wins & 30 nominations total
tt1673434,5.6,279805,52.0,49.0,PG-13,293144686.0,Nominated for 1 BAFTA Award22 wins & 17 nominations total
tt4912910,7.7,419025,87.0,98.0,PG-13,220159104.0,Nominated for 1 BAFTA Award. 26 wins & 42 nominations total
tt0451279,7.3,732467,76.0,93.0,PG-13,412845172.0,37 wins & 76 nominations total
tt13364790,6.9,3655,,,N/A,,33 wins & 37 nominations total
tt0145487,7.4,958249,73.0,90.0,PG-13,408524875.0,Nominated for 2 Oscars. 17 wins & 65 nominations total
tt0116629,7.0,642170,59.0,69.0,PG-13,306169268.0,Won 1 Oscar. 35 wins & 35 nominations total
tt2380307,8.4,704092,81.0,97.0,PG,210460015.0,Won 2 Oscars. 113 wins & 42 nominations total
tt3183660,7.2,537711,66.0,74.0,PG-13,234037575.0,Won 1 Oscar. 15 wins & 54 nominations total
tt0413267,6.1,357973,58.0,41.0,PG,322719944.0,Nominated for 1 BAFTA Award5 wins & 17 nominations total
